"","season","id"
"1",20072008,270929008
"2",20072008,270929002
"3",20072008,270929005
"4",20072008,270929012
"5",20072008,270929014
"6",20072008,270929015
"7",20072008,270929006
"8",20072008,270929009
"9",20072008,270929027
"10",20072008,270929019
"11",20072008,270929017
"12",20072008,270929018
"13",20072008,270930025
"14",20072008,270930001
"15",20072008,270930023
"16",20072008,270930030
"17",20072008,271003005
"18",20072008,271003007
"19",20072008,271003021
"20",20072008,271003017
"21",20072008,271004013
"22",20072008,271004014
"23",20072008,271004020
"24",20072008,271004027
"25",20072008,271004030
"26",20072008,271004006
"27",20072008,271004003
"28",20072008,271004024
"29",20072008,271005007
"30",20072008,271005029
"31",20072008,271005002
"32",20072008,271005028
"33",20072008,271005009
"34",20072008,271005022
"35",20072008,271006012
"36",20072008,271006014
"37",20072008,271006021
"38",20072008,271006023
"39",20072008,271006026
"40",20072008,271006016
"41",20072008,271006020
"42",20072008,271006006
"43",20072008,271006027
"44",20072008,271006030
"45",20072008,271006004
"46",20072008,271006003
"47",20072008,271006024
"48",20072008,271006008
"49",20072008,271007017
"50",20072008,271008012
"51",20072008,271008014
"52",20072008,271008005
"53",20072008,271009021
"54",20072008,271010012
"55",20072008,271010028
"56",20072008,271010029
"57",20072008,271010005
"58",20072008,271010016
"59",20072008,271010020
"60",20072008,271010030
"61",20072008,271010004
"62",20072008,271010009
"63",20072008,271010019
"64",20072008,271010025
"65",20072008,271010022
"66",20072008,271011002
"67",20072008,271011014
"68",20072008,271011021
"69",20072008,271011026
"70",20072008,271011027
"71",20072008,271012013
"72",20072008,271012005
"73",20072008,271012009
"74",20072008,271012019
"75",20072008,271012006
"76",20072008,271012008
"77",20072008,271013002
"78",20072008,271013010
"79",20072008,271013013
"80",20072008,271013015
"81",20072008,271013021
"82",20072008,271013026
"83",20072008,271013028
"84",20072008,271013027
"85",20072008,271013004
"86",20072008,271013017
"87",20072008,271013022
"88",20072008,271013024
"89",20072008,271013018
"90",20072008,271014008
"91",20072008,271014025
"92",20072008,271015002
"93",20072008,271015022
"94",20072008,271015025
"95",20072008,271016015
"96",20072008,271016010
"97",20072008,271016017
"98",20072008,271016008
"99",20072008,271017029
"100",20072008,271017016
"101",20072008,271017004
"102",20072008,271017025
"103",20072008,271018001
"104",20072008,271018015
"105",20072008,271018023
"106",20072008,271018028
"107",20072008,271018014
"108",20072008,271018021
"109",20072008,271018003
"110",20072008,271018024
"111",20072008,271018018
"112",20072008,271019002
"113",20072008,271019016
"114",20072008,271019004
"115",20072008,271019022
"116",20072008,271020001
"117",20072008,271020010
"118",20072008,271020012
"119",20072008,271020014
"120",20072008,271020015
"121",20072008,271020021
"122",20072008,271020023
"123",20072008,271020020
"124",20072008,271020009
"125",20072008,271020019
"126",20072008,271020003
"127",20072008,271020024
"128",20072008,271020018
"129",20072008,271021029
"130",20072008,271021030
"131",20072008,271022007
"132",20072008,271022010
"133",20072008,271022003
"134",20072008,271023016
"135",20072008,271023021
"136",20072008,271023004
"137",20072008,271023019
"138",20072008,271023006
"139",20072008,271023008
"140",20072008,271024007
"141",20072008,271024023
"142",20072008,271024005
"143",20072008,271024026
"144",20072008,271024003
"145",20072008,271025001
